match_set,season,match_date,round,hometeam,awayteam,location,judge_main,judge_sub,maxset,set_num,match_winner,set_winner,match_loser,set_loser,set_length,score_HT,score_AT,home_rot1,home_rot2,home_rot3,home_rot4,home_rot5,home_rot6,home_li1,home_li2,away_rot1,away_rot2,away_rot3,away_rot4,away_rot5,away_rot6,away_li1,away_li2
017_137_3,20202021,20210120,4R,KG,HK,대전,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_140_1,20202021,20210122,4R,GS,HD,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_140_2,20202021,20210122,4R,GS,HD,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_140_3,20202021,20210122,4R,GS,HD,서울,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_140_4,20202021,20210122,4R,GS,HD,서울,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_142_1,20202021,20210123,4R,EX,IB,김천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_142_2,20202021,20210123,4R,EX,IB,김천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_142_3,20202021,20210123,4R,EX,IB,김천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_144_1,20202021,20210126,4R,HK,GS,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_144_2,20202021,20210126,4R,HK,GS,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_144_3,20202021,20210126,4R,HK,GS,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_144_4,20202021,20210126,4R,HK,GS,인천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_146_1,20202021,20210127,5R,EX,HD,김천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_146_2,20202021,20210127,5R,EX,HD,김천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_146_3,20202021,20210127,5R,EX,HD,김천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_149_1,20202021,20210129,5R,GS,IB,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_149_2,20202021,20210129,5R,GS,IB,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
